EventTime;Origin;Destination
2020.7821499999998;UNKNOWN;India
2020.5351799999999;UNKNOWN;India
2021.41754;Australia;South Africa
2021.5651899999998;South Africa;Turkey
2021.10766;South Africa;India
2021.4036999999998;Australia;South Africa
2021.5404999999998;Bangladesh;South Africa
2021.483;India;USA
2021.0528599999998;India;USA
2021.3898499999998;India;Bahrain
2021.09134;India;USA
2021.42547;USA;India
2021.2131499999998;USA;Turkey
2021.3104099999998;USA;Australia
2021.32684;USA;South Korea
2021.22831;USA;Angola
2021.2967099999998;USA;Kenya
2021.3679399999999;USA;Turkey
2021.28849;USA;Netherlands
2021.29945;USA;India
2021.3104099999998;USA;Israel
2021.2358599999998;USA;Aruba
2021.2008199999998;USA;Hong Kong
2021.21347;USA;India
2021.2966999999999;India;Netherlands
2021.4008099999999;India;Qatar
2021.283;India;Argentina
2021.19807;India;Germany
2021.1816299999998;India;Australia
2021.27478;India;Canada
2021.2024;India;Spain
2021.1119999999999;India;USA
2021.50766;USA;Sint Maarten
2021.31314;USA;Australia
2021.2994399999998;USA;Canada
2021.4172399999998;Bangladesh;South Africa
2021.3186199999998;South Africa;Australia
2021.3706799999998;USA;Netherlands
2021.31314;USA;Rwanda
2021.2966999999999;USA;Japan
2021.30766;USA;Canada
2021.3761499999998;USA;Canada
2021.2387899999999;USA;Iran
2021.4857399999999;Iran;Rwanda
2021.2802599999998;USA;Italy
2021.2775199999999;USA;Vietnam
2021.4665599999998;USA;Chile
2021.3103999999998;USA;Canada
2021.3103999999998;USA;Vietnam
2021.5323199999998;USA;Netherlands
2021.3240899999998;USA;Norway
2021.3323099999998;USA;India
2021.26382;USA;United Kingdom
2021.2505899999999;USA;Netherlands
2021.3186099999998;Netherlands;Turkey
2021.2857399999998;Netherlands;Singapore
2021.2367;USA;France
2021.4473799999998;France;Bangladesh
2021.33505;France;Austria
2021.2560099999998;France;Oman
2021.30766;Oman;Australia
2021.34601;Oman;Japan
2021.1876699999998;India;Turkey
2021.4394399999999;Bangladesh;South Africa
2021.3022099999998;Bosnia and Herzegovina;South Africa
2021.4336899999998;India;Turkey
2021.23599;India;Turkey
2021.45285;Turkey;Uzbekistan
2021.4747699999998;India;Greece
2021.42546;Canada;South Africa
2021.4540399999998;China;South Africa
2021.3327599999998;Germany;South Africa
