Name , lineage , region , country , division , location , Nextstrain_clade
'Albania/un-ChVir25862_03/2021-06-16','B.1.617.2','Europe','Albania','Albania',na,'21A(Delta)'
'Albania/un-ChVir25862_04/2021-06-16','AY.9','Europe','Albania','Albania',na,'21A(Delta)'
'Albania/un-ChVir25862_06/2021-07-06','B.1.617.2','Europe','Albania','Albania',na,'21A(Delta)'
'Albania/un-ChVir25862_07/2021-07-06','B.1.617.2','Europe','Albania','Albania',na,'21A(Delta)'
'Albania/un-ChVir25862_11/2021-07-08','AY.4','Europe','Albania','Albania',na,'21A(Delta)'
'Albania/un-ChVir25862_12/2021-07-08','AY.4','Europe','Albania','Albania',na,'21A(Delta)'
'Albania/un-ChVir25862_15/2021-07-09','AY.2','Europe','Albania','Albania',na,'21A(Delta)'
'Albania/un-ChVir25862_17/2021-07-09','AY.4','Europe','Albania','Albania',na,'21A(Delta)'
'Albania/un-ChVir25862_18/2021-07-09','AY.4','Europe','Albania','Albania',na,'21A(Delta)'
'Albania/un-ChVir25862_21/2021-07-13','B.1.617.2','Europe','Albania','Albania',na,'21A(Delta)'
'Albania/un-ChVir25862_23/2021-07-12','AY.4','Europe','Albania','Albania',na,'21A(Delta)'
'Algeria/36417/2021-05-10','AY.4','Africa','Algeria','Ouargla',na,'21A(Delta)'
'Algeria/36420/2021-05-10','AY.4','Africa','Algeria','Ouargla',na,'21A(Delta)'
'Algeria/36421/2021-05-10','B.1.617.2','Africa','Algeria','Ouargla',na,'21A(Delta)'
'Algeria/46836/2021-06-14','B.1.617.2','Africa','Algeria','Medea',na,'21A(Delta)'
'Algeria/46851/2021-06-14','B.1.617.2','Africa','Algeria','Algiers',na,'21A(Delta)'
'Algeria/47640/2021-06-16','AY.20','Africa','Algeria','Bouira',na,'21A(Delta)'
'Algeria/48372/2021-06-20','B.1.617.2','Africa','Algeria','Algiers',na,'21A(Delta)'
'Algeria/48875/2021-06-21','AY.20','Africa','Algeria','Algiers',na,'21A(Delta)'
'Algeria/48915/2021-06-22','B.1.617.2','Africa','Algeria','Algiers',na,'21A(Delta)'
'Algeria/49227/2021-06-22','AY.20','Africa','Algeria','Algiers',na,'21A(Delta)'
'Algeria/49926/2021-06-24','AY.20','Africa','Algeria','Laghouat',na,'21A(Delta)'
'Algeria/50100/2021-06-24','AY.20','Africa','Algeria','Blida',na,'21A(Delta)'
'Algeria/50291/2021-06-27','B.1.617.2','Africa','Algeria','Blida',na,'21A(Delta)'
'Algeria/51743/2021-06-30','AY.12','Africa','Algeria','Algiers',na,'21A(Delta)'
'Algeria/57433/2021-07-13','B.1.617.2','Africa','Algeria','Algiers',na,'21A(Delta)'
'Algeria/57453/2021-07-13','B.1.617.2','Africa','Algeria','Algiers',na,'21A(Delta)'
'Algeria/SMII/2021-06-23','AY.15','Africa','Algeria','Algiers',na,'21A(Delta)'
'Andorra/AND-233_2120014134_GC/2021-07-08','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Andorra/AND-234_2120014139_GC/2021-07-11','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Andorra/AND-234_2120014141_GC/2021-07-09','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Andorra/AND-234_2120214126_GC/2021-07-12','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Andorra/AND-234_2121014533_COV-GC/2021-07-17','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Andorra/AND-239_2121014534_COV-GC/2021-07-13','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Andorre/AND-CHU-TLS-2120014134/2021-07-13','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Andorre/AND-CHU-TLS-2120014139/2021-07-08','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Andorre/AND-CHU-TLS-2120014141/2021-07-11','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Andorre/AND-CHU-TLS-2120214126/2021-07-12','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Andorre/AND-CHU-TLS-2121014533/2021-07-17','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Andorre/AND-CHU-TLS-2121014534/2021-07-15','B.1.617.2','Europe','Andorra','Andorra',na,'21A(Delta)'
'Angola/CERI-KRISP-K015455/2021-05-04','B.1.617.2','Africa','Angola','Luanda','Belas','21A(Delta)'
'Angola/CERI-KRISP-K015458/2021-05-03','B.1.617.2','Africa','Angola','Luanda','Luanda','21A(Delta)'
'Angola/CERI-KRISP-K015459/2021-05-05','AY.10','Africa','Angola','Luanda','Luanda','21A(Delta)'
'Angola/CERI-KRISP-K018928/2021-04-18','AY.10','Africa','Angola','Luanda',na,'21A(Delta)'
'Angola/CERI-KRISP-K018929/2021-04-18','AY.4','Africa','Angola','Luanda',na,'21A(Delta)'
'Angola/CERI-KRISP-K018930/2021-04-20','AY.10','Africa','Angola','Luanda',na,'21A(Delta)'
'Argentina/INEI104264/2021-04-24','B.1.617.2','SouthAmerica','Argentina','Argentina',na,'21A(Delta)'
'Argentina/PAIS-G0326/2021-07-27','AY.20','SouthAmerica','Argentina','CordobaAR','CordobaAR','21A(Delta)'
'Argentina/PAIS-G0327/2021-07-27','AY.20','SouthAmerica','Argentina','CordobaAR','CordobaAR','21A(Delta)'
'Argentina/PAIS-G0328/2021-07-27','AY.20','SouthAmerica','Argentina','CordobaAR','CordobaAR','21A(Delta)'
'Armenia/IMB4-14/2021-06-17','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB4-18/2021-07-06','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB4-2/2021-06-25','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB4-20/2021-07-07','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB4-23/2021-07-17','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB4-4/2021-07-21','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB5-11/2021-06-21','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB5-12/2021-06-24','AY.4','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB5-15/2021-06-29','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB5-16/2021-06-29','AY.4','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB5-24/2021-06-28','AY.25','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB6-10/2021-07-31','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB6-11/2021-07-31','B.1.617.2','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB6-2/2021-07-31','AY.4','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB6-5/2021-07-30','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB6-6/2021-07-30','AY.4','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB6-7/2021-07-30','AY.4','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB6-8/2021-07-31','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB6-9/2021-07-31','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB7-11/2021-08-03','AY.4','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB7-2/2021-07-26','AY.4','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB7-9/2021-08-03','B.1.617.2','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB8-1/2021-08-03','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB8-10/2021-08-05','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB8-11/2021-08-05','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB8-2/2021-08-04','AY.4','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB8-3/2021-08-04','AY.4','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB8-4/2021-08-04','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB8-5/2021-08-05','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB8-6/2021-08-05','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB8-7/2021-08-05','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB8-8/2021-08-05','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Armenia/IMB8-9/2021-08-05','AY.12','Asia','Armenia','Armenia',na,'21A(Delta)'
'Aruba/AW-RIVM-27687/2021-04-16','B.1.617.2','SouthAmerica','Aruba','Aruba',na,'21A(Delta)'
'Aruba/AW-RIVM-28065/2021-04-19','AY.10','SouthAmerica','Aruba','Aruba',na,'21A(Delta)'
'Aruba/AW-RIVM-29740/2021-04-22','B.1.617.2','SouthAmerica','Aruba','Aruba',na,'21A(Delta)'
'Aruba/AW-RIVM-43082/2021-06-30','AY.4','SouthAmerica','Aruba','Aruba',na,'21A(Delta)'
'Aruba/AW-RIVM-44203/2021-07-05','B.1.617.2','SouthAmerica','Aruba','Aruba',na,'21A(Delta)'
'Aruba/AW-RIVM-46296/2021-07-16','AY.9','SouthAmerica','Aruba','Aruba',na,'21A(Delta)'
'Aruba/AW-RIVM-46298/2021-07-17','B.1.617.2','SouthAmerica','Aruba','Aruba',na,'21A(Delta)'
'Aruba/AW-RIVM-46305/2021-07-14','AY.9','SouthAmerica','Aruba','Aruba',na,'21A(Delta)'
